성분명,성분코드,제품코드,제품명,업소명,공고일자,공고번호,약품상세정보,비고,급여여부
chlorpheniramine maleate,131801ATB,642102570,페니라민정(클로르페니라민말레산염)_(2mg/1정),(주)유한양행,2020-09-24,20200423,"항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉬우므로 노인에서의 사용을 추천하지 않음. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음",,급여
paliperidone,503201ATR,651904590,팔리스펜서방정3mg(팔리페리돈)_(3mg/1정),명인제약(주),2021-07-15,20210248,항정신병 약물을 투여 받은 치매 관련 정신병이 있는 고령자에서 사망률 증가.,,급여
paliperidone,503201ATR,646902290,인베가서방정3밀리그램(팔리페리돈)_(3mg/1정),(주)한국얀센,2021-07-15,20210248,항정신병 약물을 투여 받은 치매 관련 정신병이 있는 고령자에서 사망률 증가.,,급여
paliperidone,503202ATR,651904600,팔리스펜서방정6mg(팔리페리돈)_(6mg/1정),명인제약(주),2021-07-15,20210248,항정신병 약물을 투여 받은 치매 관련 정신병이 있는 고령자에서 사망률 증가.,,급여
paliperidone,503202ATR,646902310,인베가서방정6밀리그램(팔리페리돈)_(6mg/1정),(주)한국얀센,2021-07-15,20210248,항정신병 약물을 투여 받은 치매 관련 정신병이 있는 고령자에서 사망률 증가.,,급여
paliperidone,503203ATR,646902320,인베가서방정9밀리그램(팔리페리돈)_(9mg/1정),(주)한국얀센,2021-07-15,20210248,항정신병 약물을 투여 받은 치매 관련 정신병이 있는 고령자에서 사망률 증가.,,급여
paliperidone,503203ATR,651904610,팔리스펜서방정9mg(팔리페리돈)_(9mg/1정),명인제약(주),2021-07-15,20210248,항정신병 약물을 투여 받은 치매 관련 정신병이 있는 고령자에서 사망률 증가.,,급여
blonanserin,511301ATB,642203000,로나센정2밀리그램(블로난세린)_(2mg/1정),부광약품(주),2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511301ATB,653006010,파마블로난세린정2밀리그램_(2mg/1정),(주)한국파마,2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511301ATB,657203470,로나큐정2밀리그램(블로난세린)_(2mg/1정),환인제약(주),2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511302ATB,642203010,로나센정4밀리그램(블로난세린)_(4mg/1정),부광약품(주),2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511302ATB,653006020,파마블로난세린정4밀리그램_(4mg/1정),(주)한국파마,2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
blonanserin,511302ATB,657203460,로나큐정4밀리그램(블로난세린)_(4mg/1정),환인제약(주),2022-05-27,20220251,"치매 고령환자에게 비정형 항정신병약물 투여시 뇌혈관 질환, 사망의 위험 증가, 고령자에 투여시 추체외로 증상과 같은 이상반응이 나타나기 쉬움",,급여
olanzapine,204002ATB,668100710,산도스올란자핀정5밀리그램_(5mg/1정),한국산도스(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,626900650,테바올란자핀정5밀리그램_(5mg/1정),(주)한독테바,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,642002510,올라핀정5밀리그램(올란자핀)_(5mg/1정),현대약품(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,653005560,올자펙스정5밀리그램(올란자핀)_(5mg/1정),(주)한국파마,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,645304960,자이자핀정5밀리그램(올란자핀)_(5mg/1정),한림제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,651903220,뉴로자핀정5밀리그램(올란자핀)_(5mg/1정),명인제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,642705720,올자핀정5밀리그램(올란자핀)_(5mg/1정),동화약품(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,657202210,자이레핀정5밀리그램(올란자핀)_(5mg/1정),환인제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,642405070,영진올란자핀정5밀리그램_(5mg/1정),영진약품(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,698003800,피엠에스올란자핀정5밀리그램(올란자핀)_(5mg/1정),(주)제뉴파마,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,640005880,에이프렉사정5밀리그램(올란자핀)_(5mg/1정),에이치케이이노엔(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,641908390,자이프렉사정5밀리그램(올란자핀)_(5mg/1정),(주)보령,2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
olanzapine,204002ATB,643904010,산도스올란자핀정5밀리그램_(5mg/1정),삼일제약(주),2021-07-15,20210248,"치매와 연관된 정신병과/또는 행동장애를 가진 노인 환자를 대상으로 한 위약 대조 임상시험 결과, 사망률과 뇌혈관 장애의 위험성 증가. 동일한 임상시험들에서 사망례를 포함한 뇌혈관 이상반응(예. 뇌졸중, 일시적인 허혈성 발작)이 보고됨. 항정신병약물을 장기간 사용하였을 때 지연운동이상증의 위험성은 증가하였으며 이러한 증후군의 발생율은 여성 고령자에게서 가장 높음.",,급여
risperidone,224201ATB,646902480,리스페달정1밀리그램(리스페리돈)_(1mg/1정),(주)한국얀센,2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,642900390,리스프리정1밀리그램(리스페리돈)_(1mg/1정),일동제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,627600020,피엠에스리스페리돈정1밀리그램(리스페리돈)_(1mg/1정),파마사이언스코리아(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,657200230,리페리돈정1밀리그램(리스페리돈)_(1mg/1정),환인제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,645305640,리스달정1밀리그램(리스페리돈)_(1mg/1정),한림제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,651900380,리스펜정1밀리그람(리스페리돈)_(1mg/1정),명인제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,653000640,리스돈정1밀리그램(리스페리돈)_(1mg/1정),(주)한국파마,2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,698004520,리페넥스정1밀리그램(리스페리돈)_(1mg/1정),(주)제뉴파마,2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,647304230,엘페리돈정1밀리그램(리스페리돈)_(1mg/1정),에이치엘비제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,657807220,뉴리페돈정1밀리그램(리스페리돈)_(1mg/1정),하나제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,649002320,리페돈정1밀리그램(리스페리돈)_(1mg/1정),풍림무약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATB,645403330,리소페린정1mg(리스페리돈)_(1mg/1정),제일약품(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
hyoscine butylbromide,172301ATB,74200070,부스코판당의정(부틸스코폴라민브롬화물)_(10mg/1정),오펠라헬스케어코리아(주),2020-09-24,20200423,"항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉽고, 효과가 불확실하므로 노인에서의 사용을 추천하지 않음. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음",,급여
cimetropium bromide,133501ATB,642702410,알피움정(시메트로퓸브롬화물)_(50mg/1정),동화약품(주),2020-09-24,20200423,"항콜린 부작용(인지기능 저하, 섬망 악화, 구갈, 배뇨곤란, 변비 등)이 나타나기 쉽고, 효과가 불확실하므로 노인에서의 사용을 추천하지 않음. 항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음",,급여
risperidone,224201ATD,643506180,리스피돈오디정1밀리그램(리스페리돈)_(1mg/1정),한미약품(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
risperidone,224201ATD,651904500,리스펜오디정1밀리그램(리스페리돈)_(1mg/1정),명인제약(주),2021-07-15,20210248,"비정형 항정신병약을 투여받은 노인 치매 환자의 사망률이 위약에 비해 증가. 노인 치매 환자에 대한 위약 대조 시험에서 사망을 포함한 뇌혈관 약물이상반응(뇌졸중, 일과성 허혈발작 등)이 높은 빈도로 나타남.",,급여
solifenacin succinate,493801ATB,655404490,솔페나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),일성아이에스(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,659901550,오에이비정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)한국팜비오,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,73000330,솔라신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),건일바이오팜주식회사,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,60500710,메가솔페나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)엘앤씨바이오,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,670502140,베시퀸정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)보령바이오파마,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,59000550,시스케어정5밀리그램(솔리페나신숙신산염)_(5mg/1정),주식회사케이에스제약,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,57000280,베시커버정5밀리그램(솔리페나신숙신산염)_(5mg/1정),주식회사 더유제약,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,647303760,씨트케어정5밀리그램(솔리페나신숙신산염)_(5mg/1정),에이치엘비제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,647204580,솔페리신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),한국코러스(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,642803000,솔리스탑정5밀리그램(솔리페나신숙신산염)_(5mg/1정),고려제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,625201210,솔베나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)화이트생명과학,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,622802950,솔리페노실정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)마더스제약,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,661904550,베시페나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),영풍제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,652606250,솔리시톨정5밀리그램(솔리페나신숙신산염)_(5mg/1정),알보젠코리아(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,662503210,넥스페나신정5mg(솔리페나신숙신산염)_(5mg/1정),(주)넥스팜코리아,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,663607040,베시나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),한국프라임제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,642306960,삼성솔리페나신정5mg(솔리페나신숙신산염)_(5mg/1정),삼성제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,52400120,인페나신정5mg(솔리페나신숙신산염)_(5mg/1정),(주)인트로바이오파마,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,643104250,솔리콘정5mg(솔리페나신숙신산염)_(5mg/1정),(주)바이넥스,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,656004490,솔페락정5mg(솔리페나신숙신산염)_(5mg/1정),알리코제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,694204840,솔토니신정5mg(솔리페나신숙신산염)_(5mg/1정),정우신약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,670104100,솔페나신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)팜젠사이언스,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,669906180,뉴페신정5mg(솔리페나신숙신산염)_(5mg/1정),대한뉴팜(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,644003760,솔리테어정5mg(솔리페나신숙신산염)_(5mg/1정),삼익제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,698502960,유리페나정5mg(솔리페나신숙신산염)_(5mg/1정),(주)테라젠이텍스,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,698003460,베시콜정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)제뉴파마,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,640903110,솔리프정5mg(솔리페나신숙신산염)_(5mg/1정),(주)일화,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,669804670,메디페나신정5mg(솔리페나신숙신산염)_(5mg/1정),구주제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,654004580,솔신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),아주약품(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,646003930,유로테라정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)메디카코리아,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,649102520,웰유로정5mg(솔리페나신숙신산염)_(5mg/1정),한국휴텍스제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,658603250,솔리페어정5밀리그램(솔리페나신숙신산염)_(5mg/1정),이연제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,654305020,솔리페신정5mg(솔리페나신숙신산염)_(5mg/1정),오스틴제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,665506690,유니페나신정5mg(솔리페나신숙신산염)_(5mg/1정),한국유니온제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,658202720,솔레나신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)비보존제약,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,657805510,베시큐정5밀리그램(솔리페나신숙신산염)_(5mg/1정),하나제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,653403210,솔베신정5밀리그램(솔리페나신숙신산염)_(5mg/1정),동국제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,693902620,셀페리나정5밀리그램(솔리페나신숙신산염)_(5mg/1정),(주)셀트리온제약,2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,694001430,베시솔정5밀리그램(솔리페나신숙신산염)_(5mg/1정),대웅바이오(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
solifenacin succinate,493801ATB,649507530,오아비정5밀리그램(솔리페나신숙신산염)_(5mg/1정),유니메드제약(주),2020-09-24,20200423,항콜린성 작용이 있는 약제와의 병용으로 인해 항콜린 부작용이 증가하므로 동시 사용을 추천하지 않음,,급여
