성분코드,성분명,제품코드,제품명,업소명,약품상세정보,급여여부
142301ACS,dexibuprofen,661601030,에스빌연질캡슐(덱시부프로펜)_(0.3g/1캡슐),(주)알피바이오,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,629700830,덱스렌정(덱시부프로펜디.씨.)_(0.3g/1정),(주)오스코리아제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,642800900,쎄락틸정300밀리그람(덱시부프로펜디.씨.)_(0.3g/1정),고려제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,643100080,닥스펜정(덱시부프로펜)_(0.3g/1정),(주)바이넥스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,644102420,소니펜정300mg(덱시부프로펜)_(0.3g/1정),제이더블유신약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,644300460,덱스핀정(덱시부프로펜)_(0.3g/1정),한국유나이티드제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,644800460,로노펜정(덱시부프로펜디.씨)_(0.3g/1정),태극제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,645203770,팍스정(덱시부프로펜)_(0.3g/1정),(주)에이프로젠바이오로직스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,645604590,덱스트론정300밀리그램(덱시부프로펜)_(0.3g/1정),대화제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,645900210,덱시로펜정(덱시부프로펜)_(0.3g/1정),동광제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,648201150,에스프로펜정(덱시부프로펜)_(0.3g/1정),(주)유영제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,649401590,애스펜정(덱시부프로펜디.씨)_(0.3g/1정),영일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,650201700,애니펜정300밀리그램(덱시부프로펜)_(0.3g/1정),안국약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,651203970,에스부펜정(덱시부프로펜)_(0.3g/1정),삼천당제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,652901960,팬스타정(덱시부프로펜)_(0.3g/1정),(주)서울제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,653404310,디뉴펜정(덱시부프로펜)_(0.3g/1정),동국제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,653800060,그리펜-에스정(덱시부프로펜)_(0.3g/1정),신일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,654005320,파나덱스정300밀리그램(덱시부프로펜)_(0.3g/1정),아주약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,654300930,맥스펜정(덱시부프로펜 디.씨.)_(0.3g/1정),오스틴제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,657808350,덱사펜정(덱시부프로펜)_(0.3g/1정),하나제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,658107300,덱시네정(덱시부프로펜)_(0.3g/1정),(유)한풍제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,658200140,데코라펜정(덱시부프로펜)_(0.3g/1정),(주)비보존제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,658603860,덱브펜정300밀리그램(덱시부프로펜)_(0.3g/1정),이연제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,663602500,프리메정(덱시부프로펜디.씨)_(0.3g/1정),한국프라임제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,665500650,디프로펜정300밀리그램(덱시부프로펜디.씨.)_(0.3g/1정),한국유니온제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,669907820,덱시파인정(덱시부프로펜)_(0.3g/1정),대한뉴팜(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,693200630,글로덱시정300mg(덱시부프로펜)_(0.3g/1정),(주)한국글로벌제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,694003040,대웅바이오덱시부프로펜정300밀리그램_(0.3g/1정),대웅바이오(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142301ATB,dexibuprofen,698000570,펜타우드정(덱시부프로펜)_(0.3g/1정),(주)제뉴파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142302ATB,dexibuprofen,650201710,애니펜정150밀리그람(덱시부프로펜)_(0.15g/1정),안국약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,628900160,덱스론정400mg(덱시부프로펜)_(0.4g/1정),(주)이든파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,640901020,자이펜정(덱시부프로펜)_(0.4g/1정),(주)일화,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,644603410,덱시딜정400mg(덱시부프로펜디.씨.)_(0.4g/1정),조아제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,646200520,덱시펜정(덱시부프로펜)_(0.4g/1정),(주)뉴젠팜,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,648104320,덱시디펜정400밀리그램(덱시부프로펜)_(0.4g/1정),경동제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,649100670,아이소펜정(덱시부프로펜)_(0.4g/1정),한국휴텍스제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,649500350,디부루펜정400밀리그램(덱시부프로펜디.씨)_(0.4g/1정),유니메드제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,650204900,애니펜정400밀리그램(덱시부프로펜)_(0.4g/1정),안국약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,650301360,맥시펜정(덱시부프로펜 디. 씨.)_(0.4g/1정),진양제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,656000090,덱스리펜정(덱시부프로펜 디.씨.)_(0.4g/1정),알리코제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,662500610,덱타론정400mg(덱시부프로펜)_(0.4g/1정),(주)넥스팜코리아,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,669603590,올스펜정(덱시부프로펜 디.씨)_(0.4g/1정),(주)아이월드제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,670100100,덱시부정400mg(덱시부프로펜디.씨)_(0.4g/1정),(주)팜젠사이언스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,670500690,비알덱시펜정(덱시부프로펜디.씨)_(0.4g/1정),(주)보령바이오파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142303ATB,dexibuprofen,671700170,덱시핀정(덱시부프로펜)_(0.4g/1정),주식회사제뉴원사이언스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142331ASY,dexibuprofen,641907672,보령펜시럽(덱시부프로펜)_(0.6g/50mL),(주)보령,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142331ASY,dexibuprofen,643500801,맥시부펜시럽(덱시부프로펜)_(0.6g/50mL),한미약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142331ASY,dexibuprofen,646802461,덱시탑시럽(덱시부프로펜)_(0.6g/50mL),건일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142331ASY,dexibuprofen,650203432,애니펜시럽(덱시부프로펜)_(0.6g/50mL),안국약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142331ASY,dexibuprofen,670303602,코키즈펜시럽(덱시부프로펜)_(0.6g/50mL),코오롱제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142332ASY,dexibuprofen,643500802,맥시부펜시럽(덱시부프로펜)_(0.9g/75mL),한미약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,641907671,보령펜시럽(덱시부프로펜)_(6g/500mL),(주)보령,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,643103201,닥스펜시럽(덱시부프로펜)_(6g/500mL),(주)바이넥스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,643500804,맥시부펜시럽(덱시부프로펜)_(6g/500mL),한미약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,644101511,소니펜시럽(덱시부프로펜)_(6g/500mL),제이더블유신약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,644604051,덱시딜시럽(덱시부프로펜)_(6g/500mL),조아제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,645702251,코코페디시럽(덱시부프로펜)_(6g/500mL),삼아제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,646802462,덱시탑시럽(덱시부프로펜)_(6g/500mL),건일제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,648104031,덱시디펜시럽(덱시부프로펜)_(6g/500mL),경동제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,649103831,아이소펜시럽(덱시부프로펜)_(6g/500mL),한국휴텍스제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,650203431,애니펜시럽(덱시부프로펜)_(6g/500mL),안국약품(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,650302721,맥시펜시럽(덱시부프로펜)_(6g/500mL),진양제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,655402751,맥스프로시럽(덱시부프로펜)_(6g/500mL),일성아이에스(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,657306851,엑스펜시럽(덱시부프로펜)_(6g/500mL),(주)동구바이오제약,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,665506361,디프로펜시럽(덱시부프로펜)_(6g/500mL),한국유니온제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,670103171,덱시부시럽(덱시부프로펜)_(6g/500mL),(주)팜젠사이언스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,670303603,코키즈펜시럽(덱시부프로펜)_(6g/500mL),코오롱제약(주),"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,670500601,비알덱시펜시럽(덱시부프로펜)_(6g/500mL),(주)보령바이오파마,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
142334ASY,dexibuprofen,698502171,맥스프로펜시럽(덱시부프로펜)_(6g/500mL),(주)테라젠이텍스,"고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 소량부터 투여를 개시하고 필요한 최소량으로 투여하며, 이상반응의 발현에 특히 유의하는 등 환자의 상태를 관찰하면서 신중히 투여.",급여
143504ATB,diclofenac sodium,645901100,디페인정(디클로페낙나트륨)_(25mg/1정),동광제약(주),고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있으며 더 나쁜 결과를 나타낼 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 이상반응의 발현에 특히 주의하고 원칙적으로 성인 용량의 최소량부터 투약을 개시하여 관찰을 충분히 하면서 신중히 투여량을 결정함.,급여
143504ATB,diclofenac sodium,649700140,디낙스정(디클로페낙나트륨)_(25mg/1정),지엘파마(주),고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있으며 더 나쁜 결과를 나타낼 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 이상반응의 발현에 특히 주의하고 원칙적으로 성인 용량의 최소량부터 투약을 개시하여 관찰을 충분히 하면서 신중히 투여량을 결정함.,급여
143504ATB,diclofenac sodium,653800990,신일디클로페낙나트륨정_(25mg/1정),신일제약(주),고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있으며 더 나쁜 결과를 나타낼 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 이상반응의 발현에 특히 주의하고 원칙적으로 성인 용량의 최소량부터 투약을 개시하여 관찰을 충분히 하면서 신중히 투여량을 결정함.,급여
143506ATB,diclofenac sodium,649702710,디낙스정50밀리그램 (디클로페낙나트륨)_(50mg/1정),지엘파마(주),고령자는 중대한 위장관계 이상반응의 위험이 더 클 수 있으며 더 나쁜 결과를 나타낼 수 있음. 고령자는 이상반응이 나타나기 쉬우므로 이상반응의 발현에 특히 주의하고 원칙적으로 성인 용량의 최소량부터 투약을 개시하여 관찰을 충분히 하면서 신중히 투여량을 결정함.,급여
